board_name,url
Lib Tech Lost Quiver Killer,https://thegoodride.com/snowboard-reviews/lib-tech-lost-quiver-killer-2021-snowboard-review
Lib Tech Lost Retro Ripper,https://thegoodride.com/snowboard-reviews/lib-tech-lost-retro-ripper-2021-snowboard-review
Lib Tech  Lost Rocket,https://thegoodride.com/snowboard-reviews/lib-tech-lost-rocket-2018-2020-snowboard-review
Lib Tech Lost Round Nose Fish,https://thegoodride.com/snowboard-reviews/lib-tech-lost-round-nose-fish-2019-snowboard-review
Lib Tech Lost Twin Rocket,https://thegoodride.com/snowboard-reviews/lib-tech-lost-twin-rocket-2018-snowboard-review
Lib Tech Magic BM,https://thegoodride.com/snowboard-reviews/lib-tech-magic-bm-2020-snowboard-review
Lib Tech MC Snake Kink,https://thegoodride.com/snowboard-reviews/lib-tech-mc-snake-kink-2021-snowboard-review
Lib Tech MC Step Tail,https://thegoodride.com/snowboard-reviews/lib-tech-mc-step-tail-2018-snowboard-review
Lib Tech MC Wayfinder,https://thegoodride.com/snowboard-reviews/lib-tech-mc-wayfinder-2019-2020-snowboard-review
Lib Tech Short Fat,https://thegoodride.com/snowboard-reviews/lib-tech-short-fat-2018-snowboard-review
Lib Tech Short Wide,https://thegoodride.com/snowboard-reviews/lib-tech-short-wide-2021-snowboard-review
Lib Tech Skate Banana,https://thegoodride.com/snowboard-reviews/lib-tech-skate-banana-2010-2017-snowboard-review
Lib Tech Skunk Ape HP,https://thegoodride.com/snowboard-reviews/lib-tech-skunk-ape-hp-2013-2020-snowboard-review
Lib Tech Stump Ape,https://thegoodride.com/snowboard-reviews/lib-tech-stump-ape-2019-2020-snowboard-review
Lib Tech Swiss Knife,https://thegoodride.com/snowboard-reviews/lib-tech-swiss-knife-2016-2020-snowboard-review
Lib Tech T Ras,https://thegoodride.com/snowboard-reviews/lib-tech-t-ras-2020-snowboard-review
Lib Tech T.Rice Orca,https://thegoodride.com/snowboard-reviews/lib-tech-t-rice-orca-2019-2021-snowboard-review
Lib Tech Terrain Wrecker,https://thegoodride.com/snowboard-reviews/lib-tech-terrain-wrecker-2018-2020-snowbard-review
Lib Tech Travis Rice Climax,https://thegoodride.com/snowboard-reviews/lib-tech-travis-rice-climax-2017-2019-snowboard-review
