board_name,url,Overall Rating,Riding Style,Riding Level,Fits Boot size (US),Manufactured in,Shape,Camber Profile,Stance,Approx. Weight,Powder,Turning Experience,Carving,Speed,Uneven Terrain,Switch,Jumps,Jibbing,Pipe,year
Jones Womens Mind Expander,https://thegoodride.com/snowboard-reviews/jones-womens-mind-expander-2019-snowboard-review,Loved it!,Powder,Intermediate - Expert,Women's,Dubai by SWS,Tapered Directional,Flat to Rocker,Centered,Feels Normal,Excellent,Good,Average,Good,Great,Average,Good,Average,Average,['2019']
K2 Cold Shoulder,https://thegoodride.com/snowboard-reviews/k2-cold-shoulder-2020-snowboard-review,Pretty Good,All Mountain,Intermediate - Expert,"Women's, 8-10",None,Tapered Directional,Mostly Camber,Setback -20mm,Feels Normal,Good,Good,Great,Great,Average,Average,Good,Poor,Good,['2020']
K2  First Lite,https://thegoodride.com/snowboard-reviews/k2-first-lite-2013-2019-snowboard-review,Pretty Good,All Mountain,Beginner - Intermediate,Women's,China,Directional Twin,Flat to Rocker,Setback -20mm,Feels Normal,Good,Average,Average,Average,Great,Good,Average,Good,Average,"['2013', '2019']"
K2 Lime Lite,https://thegoodride.com/snowboard-reviews/k2-lime-lite-2013-2019-snowboard-review,Liked it!,All Mountain Freestyle,Intermediate - Expert,Women's,China,True Twin,Hybrid Camber,Centered,Feels Normal,Poor,Great,Good,Good,Good,Great,Great,Good,Great,"['2013', '2019']"
K2 Wildheart,https://thegoodride.com/snowboard-reviews/k2-wildheart-2020-snowboard-review,Pretty Good,Freeride,Intermediate - Expert,"Women's, 8-10, 10-12",None,Tapered Directional,Hybrid Camber,Setback -20mm,Feels Normal,Good,Great,Great,Great,Good,Average,Average,Poor,Average,['2020']
K2 Womens Party Platter,https://thegoodride.com/snowboard-reviews/k2-womens-party-platter-2020-snowboard-review,Liked it!,Powder,Intermediate - Expert,"Women's, 8-10, 10-12",China,Tapered Directional,Flat to Rocker,Setback over 20mm,Feels Normal,Great,Average,Average,Average,Average,Average,Average,Poor,Good,['2020']
Lib Tech Cortado,https://thegoodride.com/snowboard-reviews/lib-tech-cortado-2020-snowboard-review,Pretty Good,Aggressive All Mountain,Intermediate - Expert,"Women's, 10-12",None,Tapered Directional,Hybrid Rocker,Setback -20mm,Feels Heavy,Great,Good,Good,Great,Good,Average,Good,Poor,Average,['2020']
Lib Tech Dynamiss,https://thegoodride.com/snowboard-reviews/lib-tech-dynamiss-2020-snowboard-review,Loved it!,Freeride,Intermediate - Expert,"Women's, 8-10",None,Tapered Directional,Hybrid Rocker,Setback over 20mm,Feels Normal,Great,Great,Great,Great,Great,Average,Good,Average,Great,['2020']
Lib Tech No.43,https://thegoodride.com/snowboard-reviews/lib-tech-no-43-2020-snowboard-review,Pretty Good,All Mountain Freestyle,Advanced - Expert,"Women's, 8-10",None,True Twin,Hybrid Rocker,Centered,Feels Normal,Good,Great,Good,Great,Good,Great,Great,Good,Great,['2020']
Marhar Aura,https://thegoodride.com/snowboard-reviews/marhar-aura-2018-snowboard-review,Liked it!,All Mountain Freestyle,Beginner - Expert,Women's,USA by Marhar,True Twin,Flat to Rocker,Centered,Feels Normal,Average,Good,Average,Good,Good,Great,Good,Good,Good,['2018']
Marhar  Katana,https://thegoodride.com/snowboard-reviews/marhar-katana-2018-snowboard-review,Liked it!,Jib / Street,Beginner - Expert,Women's,USA by Marhar,True Twin,Flat to Rocker,Centered,Feels Normal,Average,Average,Average,Average,Good,Great,Good,Excellent,Average,['2018']
Moss Snowstick 50 Swallow,https://thegoodride.com/snowboard-reviews/moss-snowstick-50-swallow-2020-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,"Women's, 8-10, 10-12",None,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Good,Great,Great,Great,Good,Poor,Average,Poor,Average,['2020']
Moss Snowstick  Performance Quad 49,https://thegoodride.com/snowboard-reviews/moss-snowstick-performance-quad-49-2020-snowboard-review,Pretty Good,Alternative Freeride,Advanced - Expert,"Women's, 8-10",None,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Excellent,Great,Good,Average,Good,Poor,Poor,Poor,Average,['2020']
Moss Snowstick U3,https://thegoodride.com/snowboard-reviews/moss-snowstick-u3-2020-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,"Women's, 8-10",None,Tapered Directional,Directional Camber,Setback over 20mm,Feels Normal,Great,Good,Good,Average,Good,Poor,Average,Poor,Average,['2020']
Never Summer Aura,https://thegoodride.com/snowboard-reviews/never-summer-aura-2016-2019-snowboard-review,Loved it!,All Mountain,Advanced - Expert,Women's,USA by Never Summer,Directional,Hybrid Rocker,Setback -20mm,Feels Normal,Good,Good,Good,Good,Great,Good,Great,Average,Great,"['2016', '2019']"
Never Summer Infinity,https://thegoodride.com/snowboard-reviews/never-summer-infinity-2010-2021-snowboard-review,Liked it!,All Mountain,Beginner - Expert,"Women's, < 8, 8-10",USA by Never Summer,Twinish,Hybrid Rocker,Setback -12.5mm,Feels Normal,Good,Good,Average,Good,Great,Good,Good,Good,Good,"['2010', '2021']"
Never Summer Lady West,https://thegoodride.com/snowboard-reviews/never-summer-lady-west-2020-snowboard-review,Liked it!,All Mountain,Intermediate - Expert,"Women's, 8-10",USA by Never Summer,Tapered Directional,Hybrid Rocker,Setback -20mm,Feels Normal,Good,Good,Good,Good,Great,Good,Great,Average,Great,['2020']
Never Summer Onyx,https://thegoodride.com/snowboard-reviews/never-summer-onyx-snowboard-review-and-buying-advice,Liked it!,All Mountain Freestyle,Beginner - Expert,Women's,USA by Never Summer,True Twin,Hybrid Rocker,Centered,Feels Normal,Average,Good,Good,Good,Good,Great,Great,Good,Great,[]
Never Summer Shade,https://thegoodride.com/snowboard-reviews/never-summer-shade-2020-snowboard-review,Loved it!,Freestyle,Beginner - Advanced,"Women's, 8-10",USA by Never Summer,True Twin,Hybrid Rocker,Centered,Feels Normal,Good,Good,Average,Good,Great,Great,Good,Great,Good,['2020']
Never Summer Womens Insta Gator,https://thegoodride.com/snowboard-reviews/never-summer-womens-insta-gator-2018-2019-snowboard-review,Liked it!,Alternative Freeride,Advanced - Expert,Women's,USA by Never Summer,Tapered Directional,Hybrid Rocker,Setback over 20mm,Feels Normal,Great,Great,Good,Good,Great,Average,Good,Average,Average,"['2018', '2019']"
